[2026-07-31T05:57:07.713Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=false/undefined, cursor=false/undefined, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-07-31T05:57:07.715Z] INFO  [Installer] Checking Jolli Memory status
[2026-07-31T05:57:07.746Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=false/undefined, cursor=false/undefined, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-07-31T05:57:08.205Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=false/undefined, cursor=false/undefined, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-07-31T05:57:08.221Z] INFO  [StorageFactory] StorageFactory.create: storageMode=dual-write, projectPath=c:\Projects\notepilot-ai
[2026-07-31T05:57:08.455Z] INFO  [StorageFactory] Storage mode: dual-write (primary=orphan, shadow=folder)
[2026-07-31T05:57:08.781Z] WARN  [SummaryStore] loadIndex: index.json unreadable from Iw (fresh repo or backend read failed)
[2026-07-31T05:57:09.254Z] INFO  [Installer] Status: enabled=true, claude=true, git=true, geminiHook=true, worktreeHooks=true, sessions=0, summaries=0, codex=true/true, gemini=true/true, enabledWorktrees=1, opencode=false/undefined, cursor=false/undefined, copilot=false/true, copilotChat=true, cline=false/undefined
[2026-07-31T06:41:18.646Z] INFO  [PrepareMsgHook] === Prepare-commit-msg hook started (source: message) ===
[2026-07-31T06:41:18.776Z] INFO  [PrepareMsgHook] === Prepare-commit-msg hook finished ===
[2026-07-31T06:41:19.548Z] INFO  [PostCommitHook] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] Detected operation: commit
[2026-07-31T06:41:19.637Z] INFO  [PostCommitHook] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] Enqueued: type=commit hash=87e56cf5
[2026-07-31T06:41:19.637Z] INFO  [QueueWorker] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] Launching background worker
[2026-07-31T06:41:19.646Z] INFO  [QueueWorker] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] Background worker spawned (PID: 9276)
[2026-07-31T06:41:19.831Z] INFO  [QueueWorker] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] === Queue worker started === node=22.14.0 kind=vscode-plugin source=vscode pkgVer=0.99.9 cliVer=0.99.9 dist=c:\Users\NAYAN\.vscode\extensions\jolli.jollimemory-vscode-0.99.9\dist
[2026-07-31T06:41:19.837Z] INFO  [StorageFactory] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] StorageFactory.create: storageMode=dual-write, projectPath=C:\Projects\notepilot-ai
[2026-07-31T06:41:19.939Z] INFO  [StorageFactory] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] Storage mode: dual-write (primary=orphan, shadow=folder)
[2026-07-31T06:41:19.944Z] INFO  [QueueWorker] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] Processing queue entry: type=commit hash=87e56cf5
[2026-07-31T06:41:20.013Z] INFO  [GitOps] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] Commit 87e56cf5: feat(navbar): update navbar for dark UI
[2026-07-31T06:41:20.013Z] INFO  [QueueWorker] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] Commit: 87e56cf5 - feat(navbar): update navbar for dark UI (63ms)
[2026-07-31T06:41:20.570Z] INFO  [QueueWorker] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] No active sessions found — will infer topics from diff if available
[2026-07-31T06:41:20.693Z] INFO  [QueueWorker] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] Git diff: 9 files changed, +145 -51 (122ms)
[2026-07-31T06:41:20.821Z] INFO  [QueueWorker] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] Prompt blocks: plans=0 notes=0 references=0 (AI soft-excluded 0)
[2026-07-31T06:41:20.823Z] INFO  [Summarizer] [trace=3875d76c80ae0eb4ed297b1fe3b8e225] Generating summary for commit 87e56cf5
